kode_wilayah,kode_provinsi,kode_kabupaten,nama_kabupaten,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,total_siswa,jumlah_sppg,flag_tanpa_sppg,rasio_siswa_per_sppg,kebutuhan_sppg,gap_sppg,kategori_layanan
230100,23,2301,LOMBOK BARAT,82986,44361,25760,11856,193558,114.0,0,1697.877192982456,64.51933333333334,-49.480666666666664,"Layanan Sesuai (High Demand, High Supply)"
160200,16,1602,KUTAI KARTANEGARA,92056,41717,20664,14413,190124,41.0,0,4637.170731707317,63.37466666666667,22.37466666666667,"Prioritas Utama (High Demand, Low Supply)"
226000,22,2260,KOTA DENPASAR,85926,38925,19582,22205,189608,45.0,0,4213.511111111111,63.202666666666666,18.202666666666666,"Prioritas Utama (High Demand, Low Supply)"
51100,51,5110,PONOROGO,67953,45801,23407,19041,184820,75.0,0,2464.266666666667,61.60666666666667,-13.39333333333333,"Layanan Sesuai (High Demand, High Supply)"
110200,11,1102,OGAN KOMERING ILIR,93007,38123,20423,10875,184317,84.0,0,2194.25,61.439,-22.561,"Layanan Sesuai (High Demand, High Supply)"
30700,30,3070,WONOSOBO,81059,40127,16007,15586,184107,112.0,0,1643.8125,61.369,-50.631,"Layanan Sesuai (High Demand, High Supply)"
31100,31,3110,SUKOHARJO,74785,38639,19308,19455,184015,107.0,0,1719.766355140187,61.33833333333333,-45.66166666666667,"Layanan Sesuai (High Demand, High Supply)"
91000,91,9100,ROKAN HILIR,89458,39854,27759,5453,181609,65.0,0,2793.9846153846156,60.53633333333333,-4.4636666666666684,"Layanan Sesuai (High Demand, High Supply)"
286200,28,2862,KOTA SERANG,87519,37188,17447,19006,181323,95.0,0,1908.6631578947367,60.441,-34.559,"Layanan Sesuai (High Demand, High Supply)"
110100,11,1101,MUSI BANYUASIN,90377,38062,20967,9857,179987,40.0,0,4499.675,59.995666666666665,19.995666666666665,"Prioritas Utama (High Demand, Low Supply)"
70600,70,7060,ASAHAN,84527,42863,23914,12363,179793,80.0,0,2247.4125,59.931,-20.069000000000003,"Layanan Sesuai (High Demand, High Supply)"
31300,31,3130,KARANGANYAR,75318,38084,14971,18780,179432,96.0,0,1869.0833333333333,59.81066666666667,-36.18933333333333,"Layanan Sesuai (High Demand, High Supply)"
190300,19,1903,GOWA,89083,37429,21466,9427,176864,77.0,0,2296.935064935065,58.95466666666667,-18.045333333333332,"Layanan Sesuai (High Demand, High Supply)"
26800,26,2680,KOTA TASIKMALAYA,74023,39219,22746,15768,175459,116.0,0,1512.5775862068965,58.486333333333334,-57.513666666666666,"Layanan Sesuai (High Demand, High Supply)"
31600,31,3160,BLORA,71055,35826,13386,21979,173148,94.0,0,1842.0,57.716,-36.284,"Layanan Sesuai (High Demand, High Supply)"
32500,32,3250,BATANG,79319,35693,11056,15506,172986,88.0,0,1965.75,57.662,-30.338,"Layanan Sesuai (High Demand, High Supply)"
31200,31,3120,WONOGIRI,70979,37633,12973,21896,169069,86.0,0,1965.9186046511627,56.35633333333333,-29.643666666666668,"Layanan Sesuai (High Demand, High Supply)"
16000,16,1600,KOTA ADM. JAKARTA PUSAT,70539,38937,20202,23686,166323,47.0,0,3538.7872340425533,55.441,8.441000000000003,"Prioritas Utama (High Demand, Low Supply)"
190700,19,1907,BONE,76668,35587,27106,4758,166048,44.0,0,3773.818181818182,55.349333333333334,11.349333333333334,"Prioritas Utama (High Demand, Low Supply)"
90200,90,9020,BENGKALIS,78741,37094,24399,8424,165142,84.0,0,1965.9761904761904,55.047333333333334,-28.952666666666666,"Layanan Sesuai (High Demand, High Supply)"
110800,11,1108,OGAN KOMERING ULU TIMUR,72459,37234,20484,12672,163455,57.0,0,2867.6315789473683,54.485,-2.5150000000000006,"Layanan Sesuai (High Demand, High Supply)"
106000,10,1060,KOTA JAMBI,69044,36136,25914,13083,160847,44.0,0,3655.6136363636365,53.61566666666667,9.61566666666667,"Prioritas Utama (High Demand, Low Supply)"
32300,32,3230,TEMANGGUNG,66939,35826,12661,16023,160341,87.0,0,1843.0,53.447,-33.553,"Layanan Sesuai (High Demand, High Supply)"
90500,90,9050,INDRAGIRI HILIR,82730,34792,23021,5021,159047,38.0,0,4185.4473684210525,53.01566666666667,15.015666666666668,"Prioritas Utama (High Demand, Low Supply)"
136000,13,1360,KOTA PONTIANAK,70172,35408,26535,12748,158737,82.0,0,1935.8170731707316,52.912333333333336,-29.087666666666664,"Layanan Sesuai (High Demand, High Supply)"
166100,16,1661,KOTA BALIKPAPAN,75622,33159,14184,18558,158618,34.0,0,4665.235294117647,52.87266666666667,18.872666666666667,"Prioritas Utama (High Demand, Low Supply)"
90900,90,9090,ROKAN HULU,76453,34754,17075,11150,157047,48.0,0,3271.8125,52.349,4.348999999999997,"Prioritas Utama (High Demand, Low Supply)"
60300,60,6030,ACEH UTARA,75647,35148,22648,5070,156474,72.0,0,2173.25,52.158,-19.842,"Layanan Sesuai (High Demand, High Supply)"
36100,36,3610,KOTA SURAKARTA,56135,33759,23525,23692,156420,72.0,0,2172.5,52.14,-19.86,"Layanan Sesuai (High Demand, High Supply)"
52200,52,5220,BONDOWOSO,61953,28854,15605,11563,156373,76.0,0,2057.5394736842104,52.12433333333333,-23.875666666666667,"Layanan Sesuai (High Demand, High Supply)"
50900,50,5090,NGAWI,64119,32711,13256,19474,154445,76.0,0,2032.171052631579,51.48166666666667,-24.51833333333333,"Layanan Sesuai (High Demand, High Supply)"
72100,72,7210,SERDANG BEDAGAI,71847,36007,18735,11027,152423,64.0,0,2381.609375,50.80766666666667,-13.19233333333333,"Layanan Sesuai (High Demand, High Supply)"
220100,22,2201,BULELENG,70895,35205,14910,17379,151927,37.0,0,4106.135135135135,50.64233333333333,13.642333333333333,"Prioritas Utama (High Demand, Low Supply)"
30600,30,3060,PURWOREJO,63118,34317,14496,18245,151699,70.0,0,2167.1285714285714,50.56633333333333,-19.433666666666667,"Layanan Sesuai (High Demand, High Supply)"
110400,11,1104,MUARA ENIM,73619,33541,17008,10461,147985,43.0,0,3441.5116279069766,49.32833333333333,6.328333333333333,"Prioritas Utama (High Demand, Low Supply)"
31700,31,3170,REMBANG,55425,31778,19052,11698,147760,79.0,0,1870.379746835443,49.25333333333333,-29.74666666666667,"Layanan Sesuai (High Demand, High Supply)"
52300,52,5230,SITUBONDO,53246,32334,19798,11798,144642,46.0,0,3144.391304347826,48.214,2.2139999999999986,"Prioritas Utama (High Demand, Low Supply)"
120300,12,1203,LAMPUNG UTARA,68901,30917,19433,8642,142775,73.0,0,1955.8219178082193,47.59166666666667,-25.40833333333333,"Layanan Sesuai (High Demand, High Supply)"
130100,13,1301,SAMBAS,71065,33134,13993,12112,142546,59.0,0,2416.0338983050847,47.51533333333333,-11.48466666666667,"Layanan Sesuai (High Demand, High Supply)"
230600,23,2306,BIMA,58645,23557,19464,5120,141857,66.0,0,2149.348484848485,47.285666666666664,-18.714333333333336,"Layanan Sesuai (High Demand, High Supply)"
156000,15,1560,KOTA BANJARMASIN,63103,27907,16993,13481,139836,61.0,0,2292.3934426229507,46.612,-14.387999999999998,"Layanan Sesuai (High Demand, High Supply)"
220400,22,2204,BADUNG,61719,28951,13656,13714,135094,29.0,0,4658.413793103448,45.031333333333336,16.031333333333336,"Prioritas Utama (High Demand, Low Supply)"
120600,12,1206,TANGGAMUS,66214,29010,14120,8484,134785,69.0,0,1953.4057971014493,44.928333333333335,-24.071666666666665,"Layanan Sesuai (High Demand, High Supply)"
51000,51,5100,MAGETAN,51288,30071,14576,12237,130514,66.0,0,1977.4848484848485,43.504666666666665,-22.495333333333335,"Layanan Sesuai (High Demand, High Supply)"
51700,51,5170,TRENGGALEK,53872,28441,11940,13943,130122,69.0,0,1885.8260869565217,43.374,-25.625999999999998,"Layanan Sesuai (High Demand, High Supply)"
240300,24,2403,TIMOR TENGAH SELATAN,61987,27858,19249,5415,128982,12.0,0,10748.5,42.994,30.994,"Prioritas Utama (High Demand, Low Supply)"
91100,91,9110,SIAK,60689,28458,18364,7152,128875,56.0,0,2301.339285714286,42.958333333333336,-13.041666666666664,"Layanan Sesuai (High Demand, High Supply)"
130600,13,1306,KETAPANG,65427,26080,13121,7334,126242,54.0,0,2337.814814814815,42.080666666666666,-11.919333333333334,"Layanan Sesuai (High Demand, High Supply)"
80600,80,8060,PESISIR SELATAN,57626,27314,19919,5111,125626,37.0,0,3395.2972972972975,41.87533333333333,4.87533333333333,"Prioritas Utama (High Demand, Low Supply)"
71500,71,7150,MANDAILING NATAL,64320,27002,16558,5874,125331,32.0,0,3916.59375,41.777,9.777000000000001,"Prioritas Utama (High Demand, Low Supply)"
50800,50,5080,MADIUN,49839,26045,10745,13246,123277,56.0,0,2201.375,41.092333333333336,-14.907666666666664,"Layanan Sesuai (High Demand, High Supply)"
230400,23,2304,SUMBAWA,53078,24206,13190,7439,122469,22.0,0,5566.772727272727,40.823,18.823,"Prioritas Utama (High Demand, Low Supply)"
61200,61,6120,BIREUEN,52548,28085,22891,4685,121633,58.0,0,2097.1206896551726,40.544333333333334,-17.455666666666666,"Layanan Sesuai (High Demand, High Supply)"
26700,26,2670,KOTA CIMAHI,51495,25564,13575,16275,121387,64.0,0,1896.671875,40.46233333333333,-23.537666666666667,"Layanan Sesuai (High Demand, High Supply)"
40300,40,4030,GUNUNGKIDUL,44097,23204,7840,19445,119346,72.0,0,1657.5833333333333,39.782,-32.218,Layanan Cukup
236000,23,2360,KOTA MATARAM,51731,26053,17660,9941,118415,63.0,0,1879.6031746031747,39.471666666666664,-23.528333333333336,Layanan Cukup
90400,90,9040,INDRAGIRI HULU,59147,27626,14540,7956,118254,27.0,0,4379.777777777777,39.418,12.418,Layanan Cukup
330300,33,3303,POLEWALI MANDAR,51532,23603,13173,7357,118089,57.0,0,2071.7368421052633,39.363,-17.637,Layanan Cukup
286000,28,2860,KOTA CILEGON,52782,23851,11431,11861,116227,49.0,0,2371.9795918367345,38.742333333333335,-10.257666666666665,Layanan Cukup
150100,15,1501,BANJAR,57181,22322,13105,5619,115697,31.0,0,3732.1612903225805,38.565666666666665,7.565666666666665,Layanan Cukup
81300,81,8130,PASAMAN BARAT,55034,26573,15156,6083,114793,10.0,0,11479.3,38.26433333333333,28.264333333333333,Layanan Cukup
140400,14,1404,KOTAWARINGIN TIMUR,58044,23540,11781,7487,114472,7.0,0,16353.142857142857,38.157333333333334,31.157333333333334,Layanan Cukup
56300,56,5630,KOTA KEDIRI,30331,31555,25884,14483,113969,54.0,0,2110.537037037037,37.989666666666665,-16.010333333333335,Layanan Cukup
161000,16,1610,KUTAI TIMUR,57928,22058,9161,7780,113588,18.0,0,6310.444444444444,37.86266666666667,19.86266666666667,Layanan Cukup
46000,46,4600,KOTA YOGYAKARTA,38226,23758,20915,16834,113269,46.0,0,2462.3695652173915,37.75633333333333,-8.24366666666667,Layanan Cukup
80100,80,8010,AGAM,50890,28161,16047,5964,111511,34.0,0,3279.735294117647,37.17033333333333,3.170333333333332,Layanan Cukup
131300,13,1313,KUBU RAYA,56338,23068,13828,6108,110943,71.0,0,1562.5774647887324,36.981,-34.019,Layanan Cukup
